OID_,ORIG_FID,MERGE_SRC,cat_ID_con,cat_ID,cat_ID_txt,NHDPlusID,Shape_Length,Shape_Area,AwcHuc12_non_north_area,AwcHuc12_north_area,AwcHuc12_wtd_north_per,AwcHuc12_cat_elev_ZONE_CODE,AwcHuc12_cat_elev_COUNT,AwcHuc12_cat_elev_AREA,AwcHuc12_cat_elev_MIN,AwcHuc12_cat_elev_MAX,AwcHuc12_cat_elev_RANGE,AwcHuc12_cat_elev_MEAN,AwcHuc12_cat_elev_STD,AwcHuc12_cat_elev_SUM,AwcHuc12_cat_elev_VARIETY,AwcHuc12_cat_elev_MAJORITY,AwcHuc12_cat_elev_MINORITY,AwcHuc12_cat_elev_MEDIAN,AwcHuc12_cat_elev_PCT90,AwcHuc12_wtd_elev_MIN,AwcHuc12_wtd_elev_MAX,AwcHuc12_wtd_elev_MEAN,AwcHuc12_wtd_elev_STD,AwcHuc12_wtd_slope_MIN,AwcHuc12_wtd_slope_MAX,AwcHuc12_wtd_slope_MEAN,AwcHuc12_wtd_slope_STD,AwcHuc12_cat_slope_ZONE_CODE,AwcHuc12_cat_slope_COUNT,AwcHuc12_cat_slope_AREA,AwcHuc12_cat_slope_MIN,AwcHuc12_cat_slope_MAX,AwcHuc12_cat_slope_RANGE,AwcHuc12_cat_slope_MEAN,AwcHuc12_cat_slope_STD,AwcHuc12_cat_slope_SUM,AwcHuc12_cat_slope_MEDIAN,AwcHuc12_cat_slope_PCT90,AwcHuc12_non_wetland_area,AwcHuc12_wetland_area,AwcHuc12_wtd_wet_per,AwcHuc12_wtd_glacier_area_sqm,AwcHuc12_wtd_glacier_per,AwcHuc12_wtd_lake_area_sqm,AwcHuc12_wtd_lake_per,AwcHuc12_wtd_lcld_mn_2001,AwcHuc12_wtd_lcld_mn_2002,AwcHuc12_wtd_lcld_mn_2003,AwcHuc12_wtd_lcld_mn_2004,AwcHuc12_wtd_lcld_mn_2005,AwcHuc12_wtd_lcld_mn_2006,AwcHuc12_wtd_lcld_mn_2007,AwcHuc12_wtd_lcld_mn_2008,AwcHuc12_wtd_lcld_mn_2009,AwcHuc12_wtd_lcld_mn_2010,AwcHuc12_wtd_lcld_mn_2011,AwcHuc12_wtd_lcld_mn_2012,AwcHuc12_wtd_lcld_mn_2013,AwcHuc12_wtd_lcld_mn_2014,AwcHuc12_wtd_lcld_mn_2015,AwcHuc12_wtd_lcld_mn_2016,AwcHuc12_wtd_lcld_mn_2017,AwcHuc12_wtd_lcld_mn_2018,AwcHuc12_wtd_lcld_mn_2019,HUC12,AWC_OID,AWC_CODE,SPECIES,LSTAGE,sp_ls,sa_sp_hab,sa_sp_count,mult_awc,AWC_CODE_qc,region
415,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75000600015432,Cook_Inlet_75000600015432,75000600015432.000000000000000,75000600015432,75000600015432.000000000000000,51829.986402113536315,65110400.028749965131283,48865600.000000000000000,16242800.000000000000000,24.9473190,415,17202.000000000000000,1720200.000000000000000,756,1012,256,827.297523543770808,65.456020337690504,14231172.000000000000000,257,790,961,793,934,756,1947,1169.589317200227697,250.545281435059593,0.000018853545043,76.950729370117188,23.135200834763086,13.967161905273263,415,17202.000000000000000,1720200.000000000000000,0.000018853545043,32.705463409423828,32.705444555878785,6.958072592596757,5.922905847254162,119692.764737849414814,5.234201431274414,14.465123176574707,65085000.000000000000000,23400.000000000000000,0.0359401,460529.426979104522616,0.707305479271751,502700.676862926571630,0.772074317837021,529.511983092814035,516.796901782258146,527.744919242365768,505.924485934224208,512.273500807884261,525.449180136511359,508.473215437633371,531.518228062734124,502.164146254553543,513.136572239529869,518.484235521065784,523.577688900355497,522.000760270569572,517.336085666364738,513.162728618734150,518.203348569463856,507.139126441447786,516.026389836030830,521.556260021745629,190205041001,32199,247-41-10200-2053-3205-4112-5155,K,p,K_p,2,0,0,247-41-10200-2053-3205-4112-5155,Cook_Inlet
416,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75000600014486,Cook_Inlet_75000600014486,75000600014486.000000000000000,75000600014486,75000600014486.000000000000000,342659.983014561585151,1104605249.980749607086182,851247200.000000000000000,253358500.000000000000000,22.9365559,416,55270.000000000000000,5527000.000000000000000,51,85,34,57.865623303781369,3.224153979737734,3198233.000000000000000,35,57,85,57,61,51,2886,780.995868389957195,464.730296297619077,0.000000894460641,87.443374633789062,20.279188043964595,13.687697382226487,416,55270.000000000000000,5527000.000000000000000,0.000000924027290,21.803236007690430,21.803235083663139,1.628050369631713,2.212202204625438,89982.343929544775165,0.680265843868256,3.435437679290771,1049590100.000000000000000,55015600.000000000000000,4.9805646,49351757.572995536029339,4.467818487541645,2015401.936474201269448,0.182454495532166,529.546546568871008,516.846837814883543,522.713355243519572,508.533441098809931,513.210155040194536,519.987662484338784,508.113945408295137,529.022252497192994,505.549063930041029,516.294660749263244,513.354302235080354,520.182478202176071,519.908256859937865,513.569561049447202,506.822158119885444,510.047535806528401,501.567088902153671,517.114724345879722,516.361863007185889,190205040605,"30712,31759","247-41-10200-2053-3229-4002,247-41-10200-2053-3229-4002","CO,CO","s,r","CO_s, CO_r",1,1,0,247-41-10200-2053-3229-4002,Cook_Inlet
417,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75000600019353,Cook_Inlet_75000600019353,75000600019353.000000000000000,75000600019353,75000600019353.000000000000000,118790.023004925489658,125108550.101499855518341,96313500.000000000000000,28792800.000000000000000,23.0146675,417,9594.000000000000000,959400.000000000000000,83,153,70,98.291015217844716,13.291513079434308,943004.000000000000000,71,98,153,95,107,83,1176,278.395020874246370,166.129543868200614,0.000001714447308,62.395912170410156,6.641012963113676,7.848011874859183,417,9594.000000000000000,959400.000000000000000,0.000001714447308,36.180786132812500,36.180784418365192,4.643536046763930,5.997405163848205,44550.084832653141348,2.871938705444336,10.229978275299072,91541100.000000000000000,33565200.000000000000000,26.8293438,,,3434289.611040309537202,2.745047887018186,520.352908336589053,505.128184828155270,503.422644707924178,496.807803897469284,497.815274959638543,504.204532740732247,489.222020953412368,515.003455005043520,491.957652486186589,503.936711278743076,500.485508053340993,505.133414855156843,507.592828515111250,491.496996489298226,489.213263810203557,485.335688172351070,481.838162055046212,501.189145192122567,497.859039939526497,190205040702,"33781,33832,34611,35177","247-41-10200-2053-3225-4015,247-41-10200-2053-3225-4015,247-41-10200-2053-3225-4015,247-41-10200-2053-3225-4015","K,K,CO,CO","r,s,s,r","K_s, CO_s, K_r, CO_r",1,2,0,247-41-10200-2053-3225-4015,Cook_Inlet
418,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75000600011081,Cook_Inlet_75000600011081,75000600011081.000000000000000,75000600011081,75000600011081.000000000000000,47640.004902143788058,38610125.013749897480011,26182500.000000000000000,12427000.000000000000000,32.1863785,418,55727.000000000000000,5572700.000000000000000,476,919,443,621.529563766216143,85.834608026755873,34635978.000000000000000,444,567,476,589,768,476,1745,983.638961913508638,313.937090835539777,0.000011878018995,68.619766235351562,22.105721874941878,13.089490365105293,418,55727.000000000000000,5572700.000000000000000,0.000011878018995,47.079769134521484,47.079757256502489,10.544874857564450,8.986999015364267,587634.241187494131736,8.047761917114258,24.696855545043945,38609500.000000000000000,0.000000000000000,0.0000000,269808.400524866185151,0.698802193540636,438845.829342611134052,1.136608154431846,523.605661567369111,511.769238415583743,519.906658356259527,499.046555300036346,505.385488515546911,516.465693047375112,497.879167889382188,519.840334426269919,494.414328468880399,508.103942787139431,508.425590440438896,510.661980791870690,517.435286990259783,508.494214770835470,504.470943948082152,511.516867089297762,493.595654767022950,507.416892994381328,507.633449213380175,190205041006,"30690,30796,31252,32301,32866","247-41-10200-2053-3205-4112-5045,247-41-10200-2053-3205-4112-5045,247-41-10200-2053-3205-4112-5045,247-41-10200-2053-3205-4112-5045,247-41-10200-2053-3205-4112-5045","S,K,K,K,S","r,r,s,p,s","S_s, K_p, K_r, S_r, K_s",1,2,0,247-41-10200-2053-3205-4112-5045,Cook_Inlet
419,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75000600036866,Cook_Inlet_75000600036866,75000600036866.000000000000000,75000600036866,75000600036866.000000000000000,55999.999602198513458,66700974.997000187635422,46632200.000000000000000,20073100.000000000000000,30.0922108,419,65004.000000000000000,6500400.000000000000000,394,1199,805,608.252322933971868,146.172565547794619,39538834.000000000000000,800,475,394,558,799,394,1619,912.753685239399829,281.293434018083190,0.000010421103070,68.188400268554688,19.092947660793968,12.371383526153647,419,65004.000000000000000,6500400.000000000000000,0.000010421103070,46.971218109130859,46.971207688027789,7.474088824585982,5.791807771838858,485845.669953387172427,5.760270833969116,15.789897346496581,66445300.000000000000000,260000.000000000000000,0.3897741,,,39465.639718232887390,0.059168010242741,525.746195579675486,512.352003513957470,521.126372267286797,499.543862331775699,503.837798495770357,515.754373340648954,502.833154187146079,523.067592829954833,492.869545598323668,510.203640490342650,510.126917951040184,515.118902096231409,517.337695805273370,506.162838635012235,501.803523857919629,510.866640281958837,497.280030222484413,512.998151571172912,507.800003897744034,190205041009,"30678,31867,32431,32466,32563","247-41-10200-2053-3205-4112,247-41-10200-2053-3205-4112-5037,247-41-10200-2053-3205-4112-5037,247-41-10200-2053-3205-4112,247-41-10200-2053-3205-4112","K,K,K,K,S","r,r,p,p,p","K_r, K_p",2,0,1,247-41-10200-2053-3205-4112-5037,Cook_Inlet
420,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75000600020073,Cook_Inlet_75000600020073,75000600020073.000000000000000,75000600020073,75000600020073.000000000000000,882560.025334895122796,6098958924.774750709533691,4612170300.000000000000000,1486851400.000000000000000,24.3785229,420,1271.000000000000000,127100.000000000000000,37,47,10,40.121164437450830,2.958583862423601,50994.000000000000000,11,37,47,40,44,37,3425,887.375793071859448,602.720512146280953,0.000000309405948,83.522079467773438,17.014463726584246,13.970567115771896,420,1271.000000000000000,127100.000000000000000,0.000000741028941,24.324241638183594,24.324240897154652,3.598429395585295,4.819716126645251,4573.603761788909651,2.417507648468018,10.716527938842773,5777916600.000000000000000,321105100.000000000000000,5.2648625,636282037.259817719459534,10.432633587269439,37160749.428692355751991,0.609296601059906,532.720006815518445,520.781705620206253,524.651483580727472,512.278001104823034,518.172481273238645,522.767012655805956,511.831241562996524,531.983327879571220,504.039778619416779,519.785326165026390,519.746929790741888,526.270192869688799,523.699047138701872,516.119474078794497,513.959691413491328,515.950737468408647,507.198445862871665,520.061504939718816,519.263719732630875,190205041511,"31065, 31964, 32006, 32456, 32809",247-41-10200-2053-3205,,,"CO_p, CH_p, K_p, P_p, S_p",2,0,,247-41-10200-2053-3205,Cook_Inlet
421,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75000600026326,Cook_Inlet_75000600026326,75000600026326.000000000000000,75000600026326,75000600026326.000000000000000,60659.995602482929826,98715675.036250159144402,76684400.000000000000000,22030700.000000000000000,22.3174572,421,11036.000000000000000,1103600.000000000000000,576,777,201,616.968648060890246,23.716148596714056,6808866.000000000000000,192,621,674,619,628,576,1903,1051.449752874678325,293.792366956142473,0.000014424028450,70.949935913085938,22.773505332689325,12.485124384445390,421,11036.000000000000000,1103600.000000000000000,0.000014424028450,26.241924285888672,26.241909861860222,5.428994207210019,4.947744464178603,59914.380070769773738,3.435533165931702,13.058097362518311,98636800.000000000000000,78300.000000000000000,0.0793192,3928131.631690335925668,3.979237978414123,232786.669209864718141,0.235815304027837,534.688955387785882,519.263904914244563,528.406305620919170,508.441537312946195,513.063199044527664,524.514712541447807,511.014765724798963,531.212883338011466,502.034386836458680,519.556346496127730,517.501974875156975,525.969665228524377,522.524461809804279,519.080797162743352,512.397145928030227,518.954456815635695,507.399243884677958,523.659654905883485,520.385531696769817,190205041004,"31652,31762,32490","247-41-10200-2053-3205-4112-5054,247-41-10200-2053-3205-4112-5054,247-41-10200-2053-3205-4112-5054","K,S,S","p,r,s","S_r, S_s, K_p",1,1,0,247-41-10200-2053-3205-4112-5054,Cook_Inlet
422,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75000600009150,Cook_Inlet_75000600009150,75000600009150.000000000000000,75000600009150,75000600009150.000000000000000,109259.983504229880054,136944125.057249784469604,99676900.000000000000000,37270100.000000000000000,27.2149811,422,207.000000000000000,20700.000000000000000,56,60,4,58.777777777777786,0.791799082069480,12167.000000000000000,5,59,56,59,60,56,1218,256.719740483538430,169.378242015537097,0.000000989031605,55.925609588623047,6.043682248222116,6.172152315142063,422,207.000000000000000,20700.000000000000000,0.000000989031605,12.107605934143066,12.107604945111461,1.959526962882393,1.960238789488328,405.622081316655340,1.917579293251038,4.045670986175537,116040800.000000000000000,20906200.000000000000000,15.2659054,,,2376255.754159355536103,1.735200946492562,515.638709865864826,502.979305132641628,498.680940071709017,493.449942678557534,495.827716561888110,501.270225707754946,484.046179909015052,511.554397686699360,491.991303935101200,500.275541632893521,499.217425719434402,501.862848401200722,507.431451583459761,488.528320445138604,484.356589775600696,482.637835074885402,479.338845684822161,490.853468130006490,496.583621400976597,190205040604,31307,247-41-10200-2053-3229-4009-5105,CO,r,CO_r,2,0,0,247-41-10200-2053-3229-4009-5105,Cook_Inlet
423,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75000600021711,Cook_Inlet_75000600021711,75000600021711.000000000000000,75000600021711,75000600021711.000000000000000,311700.008913606056012,1355104949.734750509262085,1036954100.000000000000000,318144000.000000000000000,23.4775620,423,49011.000000000000000,4901100.000000000000000,288,1318,1030,445.843586133725012,159.733465775904676,21851240.000000000000000,984,289,1015,395,666,288,3425,1362.217242943520660,499.932600742616103,0.000006927407867,81.665969848632812,24.920386836903887,13.083659146266687,423,49011.000000000000000,4901100.000000000000000,0.000006927407867,43.824775695800781,43.824768768392914,12.622757497322953,9.554241712735603,618653.967701295274310,9.349461555480957,28.591838836669922,1354441100.000000000000000,657000.000000000000000,0.0484836,173466422.403386831283569,12.800958511541213,203427.243022537644720,0.015011917937600,536.036795491038788,527.229047919116397,537.303070973240779,517.455894300192654,524.392902698335320,528.883042563489767,523.865038405703558,537.459879103953426,503.805107172689077,525.844772345266733,527.226727127726576,534.041228528036527,529.148000576486879,527.947973139359078,523.180696364343248,530.453142617499680,518.095970542646228,529.953895219831452,526.048273331640871,190205041104,"31619,32006,32809","247-41-10200-2053-3205,247-41-10200-2053-3205,247-41-10200-2053-3205","CO,K,S","p,p,p","K_p, S_p, CO_p",2,0,0,247-41-10200-2053-3205,Cook_Inlet
424,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75000600012683,Cook_Inlet_75000600012683,75000600012683.000000000000000,75000600012683,75000600012683.000000000000000,531600.016622678376734,2671675124.664750576019287,2032918100.000000000000000,638738000.000000000000000,23.9079418,424,2317.000000000000000,231700.000000000000000,220,311,91,234.926629261976984,16.722203173339786,544325.000000000000000,90,225,294,227,259,220,3425,1170.620284736494568,472.326387617614614,0.000005293613867,81.665969848632812,22.668796679612765,13.238641778395278,424,2317.000000000000000,231700.000000000000000,0.000005509467883,30.281393051147461,30.281387541679578,6.700267920146803,7.501054980126779,15524.520770980143425,3.434962034225464,18.877482223510746,2666919200.000000000000000,4736900.000000000000000,0.1773020,200313870.154792279005051,7.497688184671339,5266617.373479758389294,0.197127911431246,532.130455396333332,520.550820309778487,529.088576430000217,510.277399287191997,516.097568216410650,524.057222395349527,513.402945843438033,531.702177595083072,500.636336668359547,519.007033480870973,519.884261842867204,526.100127116834187,523.677085909371272,519.455802247125916,515.223437255040722,521.450136219542628,508.836124031448151,522.244932471352399,519.901312832037661,190205041109,"31619,31732,32006,32809,33130","247-41-10200-2053-3205,247-41-10200-2053-3205,247-41-10200-2053-3205,247-41-10200-2053-3205,247-41-10200-2053-3205-4105","CO,CH,K,S,S","p,s,p,p,r","CO_p, CH_s, K_p, S_p",1,1,1,247-41-10200-2053-3205,Cook_Inlet
425,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75000600012751,Cook_Inlet_75000600012751,75000600012751.000000000000000,75000600012751,75000600012751.000000000000000,57250.002402353391517,69401949.996999949216843,43204000.000000000000000,26199900.000000000000000,37.7498970,425,2434.000000000000000,243400.000000000000000,211,233,22,220.069022185702835,4.716725091922287,535648.000000000000000,23,218,211,219,227,211,1544,842.496196899586721,270.613438784445520,0.000004964545042,70.482223510742188,22.581227401616164,11.545300655566633,425,2434.000000000000000,243400.000000000000000,0.000004964545042,13.462728500366211,13.462723535821169,3.415354148131318,2.049383252771227,8312.971996551626944,3.367522478103638,6.028129148483277,69379600.000000000000000,24300.000000000000000,0.0350124,467770.414927140634973,0.674001832725681,,,536.265503811746612,522.821154142622731,537.587847368815346,517.194643240503638,520.341820848677571,534.131061799131317,516.677523885540836,543.468702767430841,512.226066546700167,524.522826527037296,519.254979907473967,530.890380799930199,524.028223197825923,523.832748591938639,516.529800198539192,521.139350958656223,511.508448372490307,529.104537353087153,527.897913517831512,190205040601,30925,247-41-10200-2053-3229-4099,K,r,K_r,2,0,0,247-41-10200-2053-3229-4099,Cook_Inlet
426,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75000600005715,Cook_Inlet_75000600005715,75000600005715.000000000000000,75000600005715,75000600005715.000000000000000,83930.006203704586369,124541600.004500210285187,102792700.000000000000000,21747500.000000000000000,17.4622326,426,15291.000000000000000,1529100.000000000000000,626,1057,431,728.427571774241528,94.716308148151398,11138386.000000000000000,426,677,626,690,882,626,1905,1121.548017427299783,263.275925279328760,0.000015520192392,71.736900329589844,24.715975139564595,11.983656522767710,426,15291.000000000000000,1529100.000000000000000,0.000015520192392,38.763423919677734,38.763408399485343,12.195204714612590,8.542271273016306,186476.875291141099297,10.378101348876953,24.708768844604492,124532100.000000000000000,8100.000000000000000,0.0065039,2447856.916153971571475,1.965493390213005,173523.817698508995818,0.139330005148672,529.344160359463899,515.572750003607212,522.537442528597239,504.851480887288290,512.442328661746842,520.382686875400850,506.674022524454983,528.655157129986037,500.442924453305977,510.342087133308837,511.421752976145854,521.672403770027472,520.066030085053853,515.826814153179498,507.821708171334649,513.596595316207527,503.598989723797672,521.135572289110655,517.174943512214440,190205041003,"30820,32466,32563","247-41-10200-2053-3205-4112-5060,247-41-10200-2053-3205-4112,247-41-10200-2053-3205-4112","S,K,S","r,p,p",S_r,2,0,1,247-41-10200-2053-3205-4112-5060,Cook_Inlet
427,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75000600020083,Cook_Inlet_75000600020083,75000600020083.000000000000000,75000600020083,75000600020083.000000000000000,105070.004304488698835,189371999.978250354528427,163077900.000000000000000,26299600.000000000000000,13.8873940,427,9856.000000000000000,985600.000000000000000,216,229,13,221.818587662337137,1.778970395380440,2186244.000000000000000,14,221,216,221,224,216,1378,677.850268379292629,232.574124711487656,0.000005029889508,52.535774230957031,13.462875207940852,10.408299800371980,427,9856.000000000000000,985600.000000000000000,0.000005029889508,12.301582336425781,12.301577306536274,2.160464347224877,1.573895206514864,21293.536606248384487,2.419438004493713,4.043481826782227,182902700.000000000000000,6474800.000000000000000,3.4189911,,,112395.576082364350441,0.059351739483806,515.820641311665781,504.213719158825825,499.095056698923031,494.537033702520603,502.403703713482741,506.504089979010530,488.151541761820397,517.156043352566485,500.561631133582182,500.329995379598017,502.451547834348958,507.179990759199313,513.388554078495076,491.649454132616881,493.372057926628827,486.836872912571948,490.665572731712871,505.100223099367156,499.350792992835011,190205041806,"31431,32022,32110,32585","247-41-10200-2053-3150,247-41-10200-2053-3150,247-41-10200-2053-3150,247-41-10200-2053-3150","CO,S,K,S","p,r,p,s","S_r, S_s, K_p, CO_p",1,1,0,247-41-10200-2053-3150,Cook_Inlet
428,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75000600030233,Cook_Inlet_75000600030233,75000600030233.000000000000000,75000600030233,75000600030233.000000000000000,60359.997602685783932,75264899.951000124216080,60150400.000000000000000,15114200.000000000000000,20.0814190,428,70.000000000000000,7000.000000000000000,442,455,13,445.214285714285893,2.628920784237437,31165.000000000000000,13,444,442,444,449,442,1378,773.480374571844777,190.646038324605314,0.000010760915757,52.535774230957031,15.501443866128621,10.683289818112849,428,70.000000000000000,7000.000000000000000,0.000010983008906,11.326684951782227,11.326673968773321,4.192490572500875,2.801266642027692,293.474340075061207,3.374439001083374,8.054098129272461,75264600.000000000000000,0.000000000000000,0.0000000,,,32483.935997696778941,0.043159475424593,522.951488481969818,507.625268718626558,510.234201736273178,500.890265808889296,511.691706326746328,511.921245844662224,495.889730364602144,531.673786879886393,506.756073904597088,505.540207481339451,509.006899658006546,514.353309524003180,516.601228200242758,499.486934096507639,498.263393414697987,495.310755654054333,500.481097355196880,515.580409648093450,507.640134937277878,190205041805,"30666,31014,31607,32896","247-41-10200-2053-3150-4120,247-41-10200-2053-3150-4120,247-41-10200-2053-3150-4120,247-41-10200-2053-3150-4120","K,CO,P,K","s,p,s,r","P_s, K_s, CO_p, K_r",1,2,0,247-41-10200-2053-3150-4120,Cook_Inlet
429,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75000600027807,Cook_Inlet_75000600027807,75000600027807.000000000000000,75000600027807,75000600027807.000000000000000,179290.001107481657527,666900600.083250284194946,487113600.000000000000000,179789300.000000000000000,26.9588413,429,735.000000000000000,73500.000000000000000,186,220,34,191.523809523809575,6.217742151321304,140770.000000000000000,34,190,207,190,195,186,2845,1174.858187751179230,428.460813455112600,0.000003994494364,85.460121154785156,26.821724560897817,15.000629262157812,429,735.000000000000000,73500.000000000000000,0.000004439424629,25.503023147583008,25.503018708158379,2.822615393395959,4.534812185246589,2074.622314146030021,0.680048465728760,8.890937042236335,666879500.000000000000000,23400.000000000000000,0.0035088,174187035.412799805402756,26.118890190090660,86544.023567065363750,0.012977049886634,549.301217410860772,537.874723173179177,543.018277552367977,530.169537678211441,536.974840361656788,539.108687035295475,528.720101005619199,542.315594520313994,530.016090033765977,532.407474147670541,533.349863575901168,539.603648792382273,537.666830602541495,539.683693056686593,531.486070821285921,533.215860067113795,527.952676125544826,539.835493388462055,538.957054569992238,190205040407,31855,247-41-10200-2053-3249,,,S_s,1,1,,247-41-10200-2053-3249,Cook_Inlet
430,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75000600014924,Cook_Inlet_75000600014924,75000600014924.000000000000000,75000600014924,75000600014924.000000000000000,68959.988503149055759,54582075.040749780833721,48287000.000000000000000,6294000.000000000000000,11.5314856,430,35.000000000000000,3500.000000000000000,214,233,19,219.371428571428567,5.792042394703340,7678.000000000000000,13,214,220,217,230,214,1379,447.875097561420660,263.396934899307041,0.000004909278687,57.371685028076172,9.246609327599947,9.045309237216200,430,35.000000000000000,3500.000000000000000,0.000005309344942,15.749740600585938,15.749735291240995,7.605039581809095,4.784971018107315,266.176385363318332,8.611005783081055,13.560173797607423,37481600.000000000000000,17099400.000000000000000,31.3284836,,,60802.903187373667606,0.111397199798614,514.334162071054038,504.646086111626005,492.165475165350983,492.601473040072051,501.118563236288594,504.886506882407559,487.899576775799005,510.038106667158956,502.749795631191660,502.188389732691292,500.995135563114786,505.284197797766751,513.061314316470430,489.746369615798130,489.375777749609824,483.896970565381082,483.807040673723009,497.225476202285336,496.962142503806092,190205041804,"31284,32708,32819","247-41-10200-2053-3150-4115,247-41-10200-2053-3150-4115,247-41-10200-2053-3150-4115","K,K,CO","s,r,s","K_s, CO_s, K_r",1,2,0,247-41-10200-2053-3150-4115,Cook_Inlet
431,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75000600020443,Cook_Inlet_75000600020443,75000600020443.000000000000000,75000600020443,75000600020443.000000000000000,107980.004004456830444,146575524.993749886751175,112130100.000000000000000,34447300.000000000000000,23.5010986,431,17058.000000000000000,1705800.000000000000000,347,401,54,367.190936803846569,11.114991526300310,6263543.000000000000000,55,366,347,365,384,347,1179,606.224198273399224,168.663649985462229,0.000008321221685,51.742702484130859,10.199597271344654,9.022704155278559,431,17058.000000000000000,1705800.000000000000000,0.000008321221685,24.513330459594727,24.513322138373042,3.796759308570560,2.856138222047836,64765.120285596618487,3.368129253387451,7.466493511199952,120067100.000000000000000,26510300.000000000000000,18.0862122,,,253612.554462412779685,0.173025172158331,527.891190592822682,510.785220641101603,514.247929762703393,505.556014092216117,514.399395131863230,515.363540354795759,498.073903616785174,523.104236396607121,507.331766698002752,509.886551405598368,509.814813197672834,513.701597927105581,518.488477759873945,500.180606287189050,502.027081937597927,497.653016767934901,495.783159613970327,519.373108678419612,515.397237909802811,190205041605,"30873,30926,30983,31093,31358,31469,31578,31655,31924,32034,32324,32412,32754,32812","247-41-10200-2053-3170-4057,247-41-10200-2053-3170,247-41-10200-2053-3170,247-41-10200-2053-3170,247-41-10200-2053-3170-4057,247-41-10200-2053-3170,247-41-10200-2053-3170-4057,247-41-10200-2053-3170,247-41-10200-2053-3170-4057,247-41-10200-2053-3170,247-41-10200-2053-3170,247-41-10200-2053-3170,247-41-10200-2053-3170-4057,247-41-10200-2053-3170-4057","K,S,CO,K,S,P,S,P,CO,CO,S,K,K,CO","s,r,s,r,s,p,r,s,s,r,p,s,r,r","K_s, S_s, S_r, CO_s, K_r, CO_r",1,3,1,247-41-10200-2053-3170-4057,Cook_Inlet
