OID_,non_north_area,north_area,region,wtd_north_per,cat_ID_txt,cat_ID_con,wtd_elev_COUNT,wtd_elev_AREA,wtd_elev_MIN,wtd_elev_MAX,wtd_elev_RANGE,wtd_elev_MEAN,wtd_elev_STD,wtd_elev_SUM,wtd_elev_VARIETY,wtd_elev_MAJORITY,wtd_elev_MINORITY,wtd_elev_MEDIAN,wtd_elev_PCT90,wtd_slope_ZONE_CODE,wtd_slope_COUNT,wtd_slope_AREA,wtd_slope_MIN,wtd_slope_MAX,wtd_slope_RANGE,wtd_slope_MEAN,wtd_slope_STD,wtd_slope_SUM,wtd_slope_MEDIAN,wtd_slope_PCT90,non_wetland_area,wetland_area,wtd_wet_per,O1Region,wtd_glacier_area_sqm,wtd_glacier_per,FType,wtd_lake_area_sqm,wtd_lake_per
12,5289000.000000000000000,2747200.000000000000000,Cook_Inlet,34.1853104,75004300005171.0,Cook_Inlet_75004300005171,321448.000000000000000,8036200.000000000000000,60,161,101,113.727405365720145,26.796969080013042,36557447.000000000000000,102,75,60,120,146,12,321448.000000000000000,8036200.000000000000000,0.000000000000000,28.577421188354492,28.577421188354492,4.256617018403078,3.603938269067598,1368281.027331632561982,4.069707393646240,8.747251510620117,5711675.000000000000000,2324525.000000000000000,28.9256744,,,,,,
13,107417675.000000000000000,47262250.000000000000000,Cook_Inlet,30.5548706,75004300004701.0,Cook_Inlet_75004300004701,6187197.000000000000000,154679925.000000000000000,5,695,690,201.882574774975950,160.555095301926542,1249087261.000000000000000,691,92,694,130,459,13,6187197.000000000000000,154679925.000000000000000,0.000000000000000,51.270267486572266,51.270267486572266,6.087569698370386,6.764407433562943,37664992.975048154592514,4.604286193847656,15.298293113708496,122210500.000000000000000,32469425.000000000000000,20.9913635,,,,390,2067411.716053898679093,1.336569829462240
14,59371525.000000000000000,36833200.000000000000000,Cook_Inlet,38.2862701,75004300005303.0,Cook_Inlet_75004300005303,3848189.000000000000000,96204725.000000000000000,69,524,455,214.380254971884483,90.038825988565890,824975739.000000000000000,456,126,69,199,350,14,3848189.000000000000000,96204725.000000000000000,0.000000000000000,41.031330108642578,41.031330108642578,5.250845618304662,4.280128918301414,20206246.349058195948601,4.877539634704590,10.787391662597656,78624450.000000000000000,17580275.000000000000000,18.2738171,,,,390,7471.533230712492696,0.007766288361004
15,2249325.000000000000000,1292200.000000000000000,Cook_Inlet,36.4871063,75004300006440.0,Cook_Inlet_75004300006440,141661.000000000000000,3541525.000000000000000,253,462,209,403.474421329794495,50.372241582357702,57156590.000000000000000,210,442,253,423,451,15,141661.000000000000000,3541525.000000000000000,0.000000000000000,42.389373779296875,42.389373779296875,5.596297847549144,5.367552312596148,792777.149381659342907,4.934648513793945,11.733931541442871,3541525.000000000000000,0.000000000000000,0.0000000,,,,,,
16,243974700.000000000000000,103273350.000000000000000,Cook_Inlet,29.7405128,75004300004254.0,Cook_Inlet_75004300004254,13889922.000000000000000,347248050.000000000000000,44,621,577,352.051600505747047,119.194584008368267,4889969271.000000000000000,578,396,621,358,510,16,13889922.000000000000000,347248050.000000000000000,0.000000000000000,52.930374145507812,52.930374145507812,7.595700308092168,5.433025464762498,105503684.814776182174683,6.425070285797119,14.663094520568848,335059400.000000000000000,12188650.000000000000000,3.5100701,,,,390,173614.513093801186187,0.049997181112505
17,9093800.000000000000000,5809600.000000000000000,Cook_Inlet,38.9817085,75004300001207.0,Cook_Inlet_75004300001207,596136.000000000000000,14903400.000000000000000,50,376,326,158.082546600106525,75.244878098290556,94238697.000000000000000,327,105,376,129,282,17,596136.000000000000000,14903400.000000000000000,0.000000000000000,40.285984039306641,40.285984039306641,4.539288263210747,4.123413449538649,2706033.148077402263880,4.276838302612305,9.066785812377930,11002150.000000000000000,3901250.000000000000000,26.1769123,,,,,,
18,116675650.000000000000000,60331700.000000000000000,Cook_Inlet,34.0842896,75004300005245.0,Cook_Inlet_75004300005245,7080294.000000000000000,177007350.000000000000000,16,569,553,226.916558690924717,126.648426680259249,1606635949.000000000000000,554,61,569,204,422,18,7080294.000000000000000,177007350.000000000000000,0.000000000000000,46.849178314208984,46.849178314208984,5.294993231599262,4.454863777291473,37490108.807732865214348,4.863855361938477,10.994998931884766,141722625.000000000000000,35284725.000000000000000,19.9340458,,,,390,218448.084514216548996,0.123411708638454
19,38471600.000000000000000,13333225.000000000000000,Cook_Inlet,25.7374191,75004300000311.0,Cook_Inlet_75004300000311,2072193.000000000000000,51804825.000000000000000,176,600,424,374.537129022243676,97.490745698857097,776113217.000000000000000,425,224,176,374,509,19,2072193.000000000000000,51804825.000000000000000,0.000000000000000,47.372486114501953,47.372486114501953,8.121322732831164,6.135185775339060,16828948.117713607847691,6.746641159057617,16.307535171508789,49163350.000000000000000,2641475.000000000000000,5.0988975,,,,,,
20,37159275.000000000000000,22119425.000000000000000,Cook_Inlet,37.3142891,75004300008012.0,Cook_Inlet_75004300008012,2371148.000000000000000,59278700.000000000000000,1,1575,1574,680.964549239438384,371.012915077434741,1614667729.000000000000000,1575,5,1559,673,1180,20,2371148.000000000000000,59278700.000000000000000,0.000000000000000,73.372665405273438,73.372665405273438,19.722267889587688,12.773389892923431,46764416.061860069632530,17.314632415771484,38.394240570068362,58612200.000000000000000,666500.000000000000000,1.1243500, 1,8484601.248700343072414,14.313030566064782,390,440752.979766921722330,0.743524732226445
21,398221400.000000000000000,183614875.000000000000000,Cook_Inlet,31.5578251,75004300004192.0,Cook_Inlet_75004300004192,23273451.000000000000000,581836275.000000000000000,6,621,615,291.072412295022616,142.619369803555088,6774259525.000000000000000,616,224,621,295,482,21,23273451.000000000000000,581836275.000000000000000,0.000000000000000,52.930374145507812,52.930374145507812,6.562037919927427,5.187701161005463,152721267.989572882652283,5.602648735046387,13.241131782531738,514586300.000000000000000,67249975.000000000000000,11.5582304,,,,390,586581.462377559160814,0.100815435059275
22,54456925.000000000000000,34555200.000000000000000,Cook_Inlet,38.8207779,75004300007324.0,Cook_Inlet_75004300007324,3560485.000000000000000,89012125.000000000000000,74,525,451,221.847060161747635,88.837949263150591,789883130.000000000000000,452,126,74,208,356,22,3560485.000000000000000,89012125.000000000000000,0.000000000000000,41.031330108642578,41.031330108642578,5.339467358525510,4.321346415312371,19011093.438019700348377,4.942546367645264,10.961909675598152,73981275.000000000000000,15030850.000000000000000,16.8862953,,,,390,7471.533230712492696,0.008393878822152
23,121222950.000000000000000,61822975.000000000000000,Cook_Inlet,33.7745705,75004300001162.0,Cook_Inlet_75004300001162,7321837.000000000000000,183045925.000000000000000,7,569,562,221.056433651828428,128.549089261953355,1618539175.000000000000000,563,61,569,197,420,23,7321837.000000000000000,183045925.000000000000000,0.000000000000000,46.849178314208984,46.849178314208984,5.251785063218160,4.442186558717469,38452714.191918060183525,4.828335762023926,10.923648834228516,145885600.000000000000000,37160325.000000000000000,20.3010941,,,,390,244400.231546653376427,0.133518521165472
24,90272375.000000000000000,41599575.000000000000000,Cook_Inlet,31.5454311,75004300004217.0,Cook_Inlet_75004300004217,5274878.000000000000000,131871950.000000000000000,3,594,591,202.451136500218439,148.239885588811802,1067905046.000000000000000,592,61,594,140,437,24,5274878.000000000000000,131871950.000000000000000,0.000000000000000,42.393482208251953,42.393482208251953,4.902944296895136,4.561515534647586,25862433.006917618215084,4.440878868103027,10.528658866882324,96492500.000000000000000,35379450.000000000000000,26.8286400,,,,390,76774.541508387192152,0.058219096860272
25,276663875.000000000000000,121590925.000000000000000,Cook_Inlet,30.5309372,75004300002207.0,Cook_Inlet_75004300002207,15930192.000000000000000,398254800.000000000000000,7,621,614,323.537472429710419,136.843349507464950,5154014055.000000000000000,615,396,621,336,502,25,15930192.000000000000000,398254800.000000000000000,0.000000000000000,52.930374145507812,52.930374145507812,7.164904177346084,5.390850411300221,114138299.206725180149078,5.967891216278076,14.113272666931152,368324975.000000000000000,29929825.000000000000000,7.5152454,,,,390,341486.227816896920558,0.085745790308866
26,3363450.000000000000000,2611125.000000000000000,Cook_Inlet,43.7039452,75004300003409.0,Cook_Inlet_75004300003409,238983.000000000000000,5974575.000000000000000,259,525,266,386.421080160510655,55.038472289948878,92348069.000000000000000,267,380,525,387,460,26,238983.000000000000000,5974575.000000000000000,0.000000000000000,35.004169464111328,35.004169464111328,8.292349360419239,4.671542190946318,1981730.527201070915908,7.752694606781006,14.367171287536621,5806175.000000000000000,168400.000000000000000,2.8186104,,,,,,
27,38060875.000000000000000,17183925.000000000000000,Cook_Inlet,31.1050549,75004300002142.0,Cook_Inlet_75004300002142,2209792.000000000000000,55244800.000000000000000,69,569,500,323.184835948361069,124.545906405013540,714171265.000000000000000,501,443,569,345,472,27,2209792.000000000000000,55244800.000000000000000,0.000000000000000,46.849178314208984,46.849178314208984,6.300115329879708,4.920946148396254,13921944.455045539885759,5.494261741638184,12.637065887451172,50221075.000000000000000,5023725.000000000000000,9.0935707,,,,390,814.245202277726548,0.001473882477754
28,760625.000000000000000,275675.000000000000000,Cook_Inlet,26.6018524,75004300002314.0,Cook_Inlet_75004300002314,41452.000000000000000,1036300.000000000000000,107,161,54,144.443621538164876,10.899208875603309,5987477.000000000000000,55,145,161,147,155,28,41452.000000000000000,1036300.000000000000000,0.000000000000000,28.577421188354492,28.577421188354492,4.747288063797132,3.979794968610489,196784.584820518735796,4.385273933410645,10.184664344787599,780625.000000000000000,255675.000000000000000,24.6719093,,,,,,
29,6416875.000000000000000,2477625.000000000000000,Cook_Inlet,27.8556976,75004300003171.0,Cook_Inlet_75004300003171,355780.000000000000000,8894500.000000000000000,103,191,88,138.648529990442455,19.622226926018911,49328374.000000000000000,89,124,103,136,169,29,355780.000000000000000,8894500.000000000000000,0.000000000000000,28.422245025634766,28.422245025634766,4.774460332791196,3.935908359426733,1698657.497200451558456,4.575433492660522,9.972291946411133,5799900.000000000000000,3094600.000000000000000,34.7922859,,,,,,
30,7594850.000000000000000,2612950.000000000000000,Cook_Inlet,25.5975819,75004300000101.0,Cook_Inlet_75004300000101,408312.000000000000000,10207800.000000000000000,32,124,92,78.778093712650886,17.755879867102337,32166041.000000000000000,93,60,32,77,108,30,408312.000000000000000,10207800.000000000000000,0.000000000000000,27.558309555053711,27.558309555053711,2.610505562850691,2.676177906592756,1065900.747378691332415,2.021324634552002,5.776749134063721,4269800.000000000000000,5938000.000000000000000,58.1712036,,,,390,3275.936743713757096,0.032092206772167
31,35358100.000000000000000,23616675.000000000000000,Cook_Inlet,40.0453835,75004300005352.0,Cook_Inlet_75004300005352,2358991.000000000000000,58974775.000000000000000,91,524,433,235.506993032190678,86.565016498302811,555558877.000000000000000,434,177,524,220,364,31,2358991.000000000000000,58974775.000000000000000,0.000000000000000,39.993389129638672,39.993389129638672,5.460002738705851,4.363652427108524,12880097.320582455024123,5.040044784545898,11.119840621948242,50105950.000000000000000,8868825.000000000000000,15.0383368,,,,390,3669.361046684090070,0.006221880426246
32,119281500.000000000000000,37350375.000000000000000,Cook_Inlet,23.8459606,75004300000856.0,Cook_Inlet_75004300000856,6265275.000000000000000,156631875.000000000000000,34,812,778,343.520972183985975,182.388223123963087,2152253359.000000000000000,779,34,812,297,611,32,6265275.000000000000000,156631875.000000000000000,0.000000000000000,55.729663848876953,55.729663848876953,7.708294669152889,6.575684312302902,48294585.883276864886284,6.004675388336182,16.594144821166992,151560525.000000000000000,5071350.000000000000000,3.2377510,,,,390,3445477.096130748279393,2.199729564324852
33,192149575.000000000000000,76278400.000000000000000,Cook_Inlet,28.4167099,75004300004341.0,Cook_Inlet_75004300004341,10737119.000000000000000,268427975.000000000000000,110,621,511,382.096642497860557,107.019505089445346,4102617120.000000000000000,512,407,621,387,524,33,10737119.000000000000000,268427975.000000000000000,0.000000000000000,52.930374145507812,52.930374145507812,7.698053145645797,5.451455856378660,82654912.693123266100883,6.567629337310791,14.813026428222656,260820900.000000000000000,7607075.000000000000000,2.8339353,,,,390,18367.261903740742127,0.006842539436280
34,4450275.000000000000000,3703800.000000000000000,Cook_Inlet,45.4226875,75004300002289.0,Cook_Inlet_75004300002289,326163.000000000000000,8154075.000000000000000,81,344,263,188.170347341667480,54.725589937032289,61374205.000000000000000,264,128,81,184,259,34,326163.000000000000000,8154075.000000000000000,0.000000000000000,39.180374145507812,39.180374145507812,5.658683478309880,4.095841908182956,1845653.179335985332727,5.322226047515869,10.448975944519042,7560400.000000000000000,593675.000000000000000,7.2807155,,,,390,10091.867409147802391,0.123767771686153
35,52023450.000000000000000,17425775.000000000000000,Cook_Inlet,25.0913887,75004300007331.0,Cook_Inlet_75004300007331,2777969.000000000000000,69449225.000000000000000,2,920,918,336.185850166072498,194.139168005527381,933913870.000000000000000,919,130,920,302,619,35,2777969.000000000000000,69449225.000000000000000,0.000000000000000,78.001670837402344,78.001670837402344,20.891457304619237,11.993362972127239,58035820.757055796682835,19.459007263183594,37.815357208251953,69387250.000000000000000,61975.000000000000000,0.0892379,,,,390,763637.396221494534984,1.099558541086098
36,28249450.000000000000000,13373600.000000000000000,Cook_Inlet,32.1302757,75004300006376.0,Cook_Inlet_75004300006376,1664922.000000000000000,41623050.000000000000000,109,495,386,317.650465307084801,65.925719582547316,528863248.000000000000000,387,277,495,322,399,36,1664922.000000000000000,41623050.000000000000000,0.000000000000000,46.033641815185547,46.033641815185547,7.978147339459180,5.266401018695879,13282993.024707056581974,7.035865306854248,14.808164215087892,40404025.000000000000000,1219025.000000000000000,2.9287257,,,,390,140221.333937505638460,0.336881444241927
37,2588300.000000000000000,1695000.000000000000000,Cook_Inlet,39.5722923,75004300002278.0,Cook_Inlet_75004300002278,171332.000000000000000,4283300.000000000000000,102,376,274,231.305745570005655,75.521340264441719,39630076.000000000000000,275,117,376,233,324,37,171332.000000000000000,4283300.000000000000000,0.000000000000000,40.285984039306641,40.285984039306641,7.000158625468905,5.288906025848143,1199351.177618838381022,5.864052772521973,13.401442623138426,3957275.000000000000000,326025.000000000000000,7.6115379,,,,,,
38,392175.000000000000000,163325.000000000000000,Cook_Inlet,29.4014397,75004300002352.0,Cook_Inlet_75004300002352,22220.000000000000000,555500.000000000000000,112,146,34,129.678712871287729,7.238670439966314,2881461.000000000000000,35,123,112,129,140,38,22220.000000000000000,555500.000000000000000,0.000000000000000,19.388999938964844,19.388999938964844,3.754328231169564,3.000648618525211,83421.173296587716322,3.800329923629761,7.446733856201172,484975.000000000000000,70525.000000000000000,12.6957693,,,,,,
39,2627675.000000000000000,987700.000000000000000,Cook_Inlet,27.3194351,75004300001210.0,Cook_Inlet_75004300001210,144615.000000000000000,3615375.000000000000000,56,114,58,81.539812605884975,13.854575990009970,11791880.000000000000000,59,90,114,82,103,39,144615.000000000000000,3615375.000000000000000,0.000000000000000,21.386140823364258,21.386140823364258,2.791573462111590,2.716293046425642,403703.396223267656751,2.386639833450317,5.885129451751709,1846300.000000000000000,1769075.000000000000000,48.9319916,,,,,,
40,115823550.000000000000000,45216375.000000000000000,Cook_Inlet,28.0777416,75004300004452.0,Cook_Inlet_75004300004452,6441597.000000000000000,161039925.000000000000000,176,621,445,421.754140626927267,90.691527538043019,2716770207.000000000000000,446,396,621,423,543,40,6441597.000000000000000,161039925.000000000000000,0.000000000000000,52.930374145507812,52.930374145507812,7.473189219280505,5.175728509589439,48139273.255349643528461,6.410829067230225,14.159173011779785,157432950.000000000000000,3606975.000000000000000,2.2398016,,,,390,18367.261903740742127,0.011405437241357
41,79456700.000000000000000,37982250.000000000000000,Cook_Inlet,32.3421249,75004300000105.0,Cook_Inlet_75004300000105,4697558.000000000000000,117438950.000000000000000,29,594,565,218.567027591782391,149.046958989571522,1026731289.000000000000000,566,61,594,156,444,41,4697558.000000000000000,117438950.000000000000000,0.000000000000000,42.393482208251953,42.393482208251953,5.111344760039939,4.608755731314370,24010838.468283697962761,4.636685848236084,10.877605438232422,89542175.000000000000000,27896775.000000000000000,23.7542782,,,,390,49551.314618336655258,0.042193418088450
42,157768500.000000000000000,55476050.000000000000000,Cook_Inlet,26.0152245,75004300006071.0,Cook_Inlet_75004300006071,8529782.000000000000000,213244550.000000000000000,0,1747,1747,817.547047040593952,346.973915818318517,6973498086.000000000000000,1748,349,1747,841,1271,42,8529782.000000000000000,213244550.000000000000000,0.000000000000000,77.201339721679688,77.201339721679688,19.208476265299073,13.859277728459588,163844115.095175266265869,16.947207450866699,39.211517333984375,212090675.000000000000000,1153875.000000000000000,0.5411041, 1,43093821.114327229559422,20.208696404765870,390,10364725.813040751963854,4.860501850571406
43,375117000.000000000000000,195791600.000000000000000,Cook_Inlet,34.2947350,75004300004324.0,Cook_Inlet_75004300004324,22836344.000000000000000,570908600.000000000000000,10,889,879,408.935297480200290,180.008303177963398,9338587127.000000000000000,880,433,10,426,624,43,22836344.000000000000000,570908600.000000000000000,0.000000000000000,61.756584167480469,61.756584167480469,6.594150072513273,5.638117357558332,150586279.443538039922714,5.490867137908936,13.866397857666016,522581875.000000000000000,48326725.000000000000000,8.4648790,,,,390,578595.511368228239007,0.101346114893615
44,29219400.000000000000000,12441000.000000000000000,Cook_Inlet,29.8628922,75004300001288.0,Cook_Inlet_75004300001288,1666416.000000000000000,41660400.000000000000000,154,569,415,378.817451344681558,86.765830525191930,631267462.000000000000000,416,443,569,389,487,44,1666416.000000000000000,41660400.000000000000000,0.000000000000000,46.849178314208984,46.849178314208984,7.140332098951903,5.043257165341498,11898763.655007034540176,6.051325798034668,13.613159179687500,40674100.000000000000000,986300.000000000000000,2.3674760,,,,390,814.245202277726548,0.001954465150042
45,35167475.000000000000000,9640200.000000000000000,Cook_Inlet,21.5146179,75004300006013.0,Cook_Inlet_75004300006013,1792307.000000000000000,44807675.000000000000000,32,403,371,150.458339447425942,99.792167067820230,269667535.000000000000000,372,42,403,115,306,45,1792307.000000000000000,44807675.000000000000000,0.000000000000000,49.216587066650391,49.216587066650391,7.087039255455736,5.817409630542874,12702150.066828103736043,5.761767864227295,14.791480064392090,41543775.000000000000000,3263900.000000000000000,7.2842431,,,,390,1146398.448394642444327,2.558456478987803
46,99289200.000000000000000,26129575.000000000000000,Cook_Inlet,20.8338623,75004400004829.0,Cook_Inlet_75004400004829,5016751.000000000000000,125418775.000000000000000,153,1600,1447,550.378102082404894,332.542861632392146,2761109894.000000000000000,1447,205,1599,416,1068,46,5016751.000000000000000,125418775.000000000000000,0.000000000000000,68.881744384765625,68.881744384765625,18.907054101314245,12.212522587165900,94851982.569822341203690,17.849012374877930,36.033699035644531,123443750.000000000000000,1975025.000000000000000,1.5747443, 1,1221335.842108348384500,0.973804383732676,390,5396067.156318340450525,4.302431543045270
47,202671500.000000000000000,75588375.000000000000000,Cook_Inlet,27.1646690,75004400000576.0,Cook_Inlet_75004400000576,11130395.000000000000000,278259875.000000000000000,133,1614,1481,775.484897615939531,368.307653614991011,8631453227.000000000000000,1482,441,133,784,1270,47,11130395.000000000000000,278259875.000000000000000,0.000000000000000,69.426879882812500,69.426879882812500,24.148283964431972,12.622224085524993,268779939.096293807029724,25.085128784179688,40.092761993408203,276252050.000000000000000,2007825.000000000000000,0.7215647, 1,764952.909033345174976,0.274906433485132,390,6675778.547924915328622,2.399120847407081
48,480917475.000000000000000,164755975.000000000000000,Cook_Inlet,25.5169201,75004400006041.0,Cook_Inlet_75004400006041,25826938.000000000000000,645673450.000000000000000,43,961,918,111.634104321619432,82.004678454275592,2883167091.000000000000000,919,66,958,90,159,48,25826938.000000000000000,645673450.000000000000000,0.000000000000000,56.535144805908203,56.535144805908203,4.030609336224324,4.178940424213641,104098297.428886771202087,3.616288185119629,8.728131294250488,470916375.000000000000000,174757075.000000000000000,27.0658607,,,,390,33079797.054827421903610,5.123300904971336
49,38530475.000000000000000,8750075.000000000000000,Cook_Inlet,18.5067120,75004400010402.0,Cook_Inlet_75004400010402,1891222.000000000000000,47280550.000000000000000,23,72,49,36.366843765565719,6.548812291369441,68777775.000000000000000,50,32,72,36,45,49,1891222.000000000000000,47280550.000000000000000,0.000000000000000,32.200447082519531,32.200447082519531,2.578372083759065,2.977657829602136,4876274.008990987204015,1.469540596008301,6.020781993865967,31414650.000000000000000,15865900.000000000000000,33.5569267,,,,390,3890248.315835252869874,8.228023641614595
50,67558300.000000000000000,20162300.000000000000000,Cook_Inlet,22.9846802,75004400008856.0,Cook_Inlet_75004400008856,3508824.000000000000000,87720600.000000000000000,126,1888,1762,797.511252488005425,401.244546181664646,2798326623.000000000000000,1763,228,1874,792,1339,50,3508824.000000000000000,87720600.000000000000000,0.000000000000000,77.586776733398438,77.586776733398438,28.560525915347139,14.320260085923474,100213858.784392014145851,30.477542877197266,45.883609771728516,87492900.000000000000000,227700.000000000000000,0.2595741, 1,5673476.734195565804839,6.467673925495783,390,2889671.535423155874014,3.294179939129275
51,126291750.000000000000000,37376750.000000000000000,Cook_Inlet,22.8368626,75004400010754.0,Cook_Inlet_75004400010754,6546740.000000000000000,163668500.000000000000000,102,1600,1498,587.015774721466300,346.040927747718399,3843039653.000000000000000,1498,205,1599,495,1098,51,6546740.000000000000000,163668500.000000000000000,0.000000000000000,68.881744384765625,68.881744384765625,19.518437697933795,12.120479566957584,127782136.814571097493172,18.879009246826172,36.235038757324219,161285025.000000000000000,2383475.000000000000000,1.4562820, 1,1221335.842108348384500,0.746225879228843,390,6334420.042526716366410,3.870277120074862
